scenario,split,arm,cost,pending_cost,technician_hours,engineer_hours,equipment_hours,nominal_hours,complete,correctly_complete,unresolved_count,false_absences,false_positives,missed_faults,missed_coexisting_faults,incorrectly_complete,review_pending,attempts,inconclusive_attempts,mechanism_evidence_complete,battery_attempted,audit_complete,cases
base,test,ct_first,1994.6313868613138,747.5912408759124,4.786514598540146,5.086642335766423,11.651642335766423,34.45383211678832,0.5354014598540145,0.48423357664233574,1.6138686131386861,0.024160583941605838,0.06569343065693431,0.23766423357664235,0.009051094890510949,0.05116788321167883,0.4645985401459854,3.74992700729927,0.5394890510948905,0.5354014598540145,0.006642335766423358,0.0062043795620437955,137
base,test,full,1994.6313868613138,747.5912408759124,4.786514598540146,5.086642335766423,11.651642335766423,34.45383211678832,0.5354014598540145,0.48423357664233574,1.6138686131386861,0.024160583941605838,0.06569343065693431,0.23766423357664235,0.009051094890510949,0.05116788321167883,0.4645985401459854,3.74992700729927,0.5394890510948905,0.5354014598540145,0.006642335766423358,0.0062043795620437955,137
base,test,inspection,1994.6313868613138,747.5912408759124,4.786514598540146,5.086642335766423,11.651642335766423,34.45383211678832,0.5354014598540145,0.48423357664233574,1.6138686131386861,0.024160583941605838,0.06569343065693431,0.23766423357664235,0.009051094890510949,0.05116788321167883,0.4645985401459854,3.74992700729927,0.5394890510948905,0.5354014598540145,0.006642335766423358,0.0062043795620437955,137
base,test,manufacturing,1994.6313868613138,747.5912408759124,4.786514598540146,5.086642335766423,11.651642335766423,34.45383211678832,0.5354014598540145,0.48423357664233574,1.6138686131386861,0.024160583941605838,0.06569343065693431,0.23766423357664235,0.009051094890510949,0.05116788321167883,0.4645985401459854,3.74992700729927,0.5394890510948905,0.5354014598540145,0.006642335766423358,0.0062043795620437955,137
base,test,mock,1995.551094890511,747.8540145985402,4.788594890510949,5.089160583941606,11.659197080291971,34.455693430656936,0.5352554744525547,0.4840875912408759,1.6143065693430656,0.024160583941605838,0.06569343065693431,0.2378102189781022,0.009051094890510949,0.05116788321167883,0.4647445255474453,3.7556934306569345,0.5408029197080292,0.5352554744525547,0.006642335766423358,0.0062043795620437955,137
base,test,prevalence,1994.6313868613138,747.5912408759124,4.786514598540146,5.086642335766423,11.651642335766423,34.45383211678832,0.5354014598540145,0.48423357664233574,1.6138686131386861,0.024160583941605838,0.06569343065693431,0.23766423357664235,0.009051094890510949,0.05116788321167883,0.4645985401459854,3.74992700729927,0.5394890510948905,0.5354014598540145,0.006642335766423358,0.0062043795620437955,137
base,train,ct_first,1979.2465543644716,765.3169984686065,4.7302986217457885,5.065934150076569,11.57758805513017,33.99571975497703,0.5295865237366003,0.4764624808575804,1.6303828483920368,0.02448698315467075,0.06614088820826952,0.2236906584992343,0.011378254211332312,0.05312404287901991,0.4704134762633997,3.757748851454824,0.5479785604900459,0.53,0.019280245022970904,0.017105666156202144,653
base,train,full,1979.2465543644716,765.3169984686065,4.7302986217457885,5.065934150076569,11.57758805513017,33.99571975497703,0.5295865237366003,0.4764624808575804,1.6303828483920368,0.02448698315467075,0.06614088820826952,0.2236906584992343,0.011378254211332312,0.05312404287901991,0.4704134762633997,3.757748851454824,0.5479785604900459,0.53,0.019280245022970904,0.017105666156202144,653
base,train,inspection,1979.2465543644716,765.3169984686065,4.7302986217457885,5.065934150076569,11.57758805513017,33.99571975497703,0.5295865237366003,0.4764624808575804,1.6303828483920368,0.02448698315467075,0.06614088820826952,0.2236906584992343,0.011378254211332312,0.05312404287901991,0.4704134762633997,3.757748851454824,0.5479785604900459,0.53,0.019280245022970904,0.017105666156202144,653
base,train,manufacturing,1979.2465543644716,765.3169984686065,4.7302986217457885,5.065934150076569,11.57758805513017,33.99571975497703,0.5295865237366003,0.4764624808575804,1.6303828483920368,0.02448698315467075,0.06614088820826952,0.2236906584992343,0.011378254211332312,0.05312404287901991,0.4704134762633997,3.757748851454824,0.5479785604900459,0.53,0.019280245022970904,0.017105666156202144,653
