split,arm,reference,metric,paired_mean_difference,lot_bootstrap_low,lot_bootstrap_high,mc_replication_sd,mc_standard_error,lot_count,bootstrap_samples
test,ct_first,mock,cost,-0.9197080291970803,-3.1699778024417316,0.0,1.8978102189780977,0.18978102189780977,36,1000
test,ct_first,mock,pending_cost,-0.26277372262773724,-0.9057079435547805,0.0,1.8486826966811787,0.18486826966811787,36,1000
test,ct_first,mock,technician_hours,-0.002080291970802921,-0.007170187886475349,0.0,0.006230347571574552,0.0006230347571574552,36,1000
test,ct_first,mock,engineer_hours,-0.00251824817518248,-0.008679701125733307,0.0,0.0033091569372050837,0.0003309156937205084,36,1000
test,ct_first,mock,equipment_hours,-0.007554744525547446,-0.02603910337719994,0.0,0.009927470811615394,0.0009927470811615393,36,1000
test,ct_first,mock,nominal_hours,-0.0018613138686131574,-0.006415431266846425,0.0,0.04918841078342922,0.004918841078342922,36,1000
test,ct_first,mock,complete,0.00014598540145985414,0.0,0.0005031710797526562,0.0010270459426006534,0.00010270459426006535,36,1000
test,ct_first,mock,correctly_complete,0.00014598540145985414,0.0,0.0005031710797526562,0.0010270459426006571,0.00010270459426006571,36,1000
test,ct_first,mock,unresolved_count,-0.0004379562043795624,-0.0015095132392579688,0.0,0.0030811378278019596,0.00030811378278019596,36,1000
test,ct_first,mock,false_absences,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,false_positives,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,missed_faults,-0.000145985401459854,-0.0005031710797526557,0.0,0.0010270459426006534,0.00010270459426006535,36,1000
test,ct_first,mock,missed_coexisting_faults,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,incorrectly_complete,0.0,0.0,0.0,0.0,0.0,36,1000
test,ct_first,mock,review_pending,-0.00014598540145985373,-0.0005031710797526547,0.0,0.0010270459426006571,0.00010270459426006571,36,1000
test,ct_first,mock,attempts,-0.005766423357664234,-0.019875257650229905,0.0,0.0029880305163528017,0.0002988030516352802,36,1000
test,ct_first,mock,inconclusive_attempts,-0.001313868613138686,-0.004528539717773903,0.0,0.002818415472009995,0.0002818415472009995,36,1000
