run_id,wafer_id,process_step,sample_index,elapsed_sec,timestamp_utc,sensor_name,setpoint_value,measured_value,unit
R0005713,W005713,OXIDATION,0,0,2025-06-06T01:36:00.000000Z,temperature_c,850,852.67577,degC
R0005713,W005713,OXIDATION,1,14.700432,2025-06-06T01:36:14.700432Z,temperature_c,850,854.41813,degC
R0005713,W005713,OXIDATION,2,29.400864,2025-06-06T01:36:29.400864Z,temperature_c,850,854.68791,degC
R0005713,W005713,OXIDATION,3,44.101296,2025-06-06T01:36:44.101296Z,temperature_c,850,853.20829,degC
R0005713,W005713,OXIDATION,4,58.801729,2025-06-06T01:36:58.801728Z,temperature_c,850,853.43006,degC
R0005713,W005713,OXIDATION,5,73.502161,2025-06-06T01:37:13.502160Z,temperature_c,850,853.6668,degC
R0005713,W005713,OXIDATION,6,88.202593,2025-06-06T01:37:28.202592Z,temperature_c,850,853.85418,degC
R0005713,W005713,OXIDATION,7,102.90303,2025-06-06T01:37:42.903025Z,temperature_c,850,852.83412,degC
R0005713,W005713,OXIDATION,8,117.60346,2025-06-06T01:37:57.603457Z,temperature_c,850,853.39385,degC
R0005713,W005713,OXIDATION,9,132.30389,2025-06-06T01:38:12.303889Z,temperature_c,850,853.47371,degC
R0005713,W005713,OXIDATION,10,147.00432,2025-06-06T01:38:27.004321Z,temperature_c,850,854.22177,degC
R0005713,W005713,OXIDATION,11,161.70475,2025-06-06T01:38:41.704753Z,temperature_c,850,852.87353,degC
R0005713,W005713,OXIDATION,12,176.40519,2025-06-06T01:38:56.405185Z,temperature_c,850,853.53564,degC
R0005713,W005713,OXIDATION,13,191.10562,2025-06-06T01:39:11.105617Z,temperature_c,850,852.51485,degC
R0005713,W005713,OXIDATION,14,205.80605,2025-06-06T01:39:25.806050Z,temperature_c,850,852.20003,degC
R0005713,W005713,OXIDATION,15,220.50648,2025-06-06T01:39:40.506482Z,temperature_c,850,852.54804,degC
R0005713,W005713,OXIDATION,16,235.20691,2025-06-06T01:39:55.206914Z,temperature_c,850,851.50729,degC
R0005713,W005713,OXIDATION,17,249.90735,2025-06-06T01:40:09.907346Z,temperature_c,850,851.00174,degC
R0005713,W005713,OXIDATION,18,264.60778,2025-06-06T01:40:24.607778Z,temperature_c,850,850.64779,degC
R0005713,W005713,OXIDATION,19,279.30821,2025-06-06T01:40:39.308210Z,temperature_c,850,849.32594,degC
R0005713,W005713,OXIDATION,20,294.00864,2025-06-06T01:40:54.008642Z,temperature_c,850,848.11155,degC
R0005713,W005713,OXIDATION,21,308.70908,2025-06-06T01:41:08.709075Z,temperature_c,850,848.75597,degC
R0005713,W005713,OXIDATION,22,323.40951,2025-06-06T01:41:23.409507Z,temperature_c,850,848.85237,degC
R0005713,W005713,OXIDATION,23,338.10994,2025-06-06T01:41:38.109939Z,temperature_c,850,847.82992,degC
R0005713,W005713,OXIDATION,24,352.81037,2025-06-06T01:41:52.810371Z,temperature_c,850,848.42968,degC
R0005713,W005713,OXIDATION,25,367.5108,2025-06-06T01:42:07.510803Z,temperature_c,850,847.65556,degC
R0005713,W005713,OXIDATION,26,382.21124,2025-06-06T01:42:22.211235Z,temperature_c,850,849.5128,degC
R0005713,W005713,OXIDATION,27,396.91167,2025-06-06T01:42:36.911667Z,temperature_c,850,850.08054,degC
R0005713,W005713,OXIDATION,28,411.6121,2025-06-06T01:42:51.612100Z,temperature_c,850,851.69741,degC
R0005713,W005713,OXIDATION,29,426.31253,2025-06-06T01:43:06.312532Z,temperature_c,850,853.56456,degC
R0005713,W005713,OXIDATION,30,441.01296,2025-06-06T01:43:21.012964Z,temperature_c,850,854.0138,degC
R0005713,W005713,OXIDATION,31,455.7134,2025-06-06T01:43:35.713396Z,temperature_c,850,855.74315,degC
R0005713,W005713,OXIDATION,32,470.41383,2025-06-06T01:43:50.413828Z,temperature_c,850,855.83695,degC
R0005713,W005713,OXIDATION,33,485.11426,2025-06-06T01:44:05.114260Z,temperature_c,850,855.49697,degC
R0005713,W005713,OXIDATION,34,499.81469,2025-06-06T01:44:19.814692Z,temperature_c,850,854.34654,degC
R0005713,W005713,OXIDATION,35,514.51513,2025-06-06T01:44:34.515125Z,temperature_c,850,854.42883,degC
R0005713,W005713,OXIDATION,36,529.21556,2025-06-06T01:44:49.215557Z,temperature_c,850,854.11289,degC
R0005713,W005713,OXIDATION,37,543.91599,2025-06-06T01:45:03.915989Z,temperature_c,850,853.73146,degC
R0005713,W005713,OXIDATION,38,558.61642,2025-06-06T01:45:18.616421Z,temperature_c,850,854.43426,degC
R0005713,W005713,OXIDATION,39,573.31685,2025-06-06T01:45:33.316853Z,temperature_c,850,855.80642,degC
R0005713,W005713,OXIDATION,40,588.01729,2025-06-06T01:45:48.017285Z,temperature_c,850,854.54935,degC
R0005713,W005713,OXIDATION,41,602.71772,2025-06-06T01:46:02.717717Z,temperature_c,850,854.88111,degC
R0005713,W005713,OXIDATION,42,617.41815,2025-06-06T01:46:17.418150Z,temperature_c,850,855.12337,degC
R0005713,W005713,OXIDATION,43,632.11858,2025-06-06T01:46:32.118582Z,temperature_c,850,855.4157,degC
R0005713,W005713,OXIDATION,44,646.81901,2025-06-06T01:46:46.819014Z,temperature_c,850,852.75354,degC
R0005713,W005713,OXIDATION,45,661.51945,2025-06-06T01:47:01.519446Z,temperature_c,850,853.3237,degC
R0005713,W005713,OXIDATION,46,676.21988,2025-06-06T01:47:16.219878Z,temperature_c,850,852.92109,degC
R0005713,W005713,OXIDATION,47,690.92031,2025-06-06T01:47:30.920310Z,temperature_c,850,852.53134,degC
R0005713,W005713,OXIDATION,48,705.62074,2025-06-06T01:47:45.620742Z,temperature_c,850,850.8275,degC
R0005713,W005713,OXIDATION,49,720.32118,2025-06-06T01:48:00.321175Z,temperature_c,850,850.1537,degC
R0005713,W005713,OXIDATION,50,735.02161,2025-06-06T01:48:15.021607Z,temperature_c,850,851.27463,degC
R0005713,W005713,OXIDATION,51,749.72204,2025-06-06T01:48:29.722039Z,temperature_c,850,852.0146,degC
R0005713,W005713,OXIDATION,52,764.42247,2025-06-06T01:48:44.422471Z,temperature_c,850,851.16933,degC
R0005713,W005713,OXIDATION,53,779.1229,2025-06-06T01:48:59.122903Z,temperature_c,850,850.75923,degC
R0005713,W005713,OXIDATION,54,793.82334,2025-06-06T01:49:13.823335Z,temperature_c,850,850.7744,degC
R0005713,W005713,OXIDATION,55,808.52377,2025-06-06T01:49:28.523767Z,temperature_c,850,852.13611,degC
R0005713,W005713,OXIDATION,56,823.2242,2025-06-06T01:49:43.224200Z,temperature_c,850,852.0115,degC
R0005713,W005713,OXIDATION,57,837.92463,2025-06-06T01:49:57.924632Z,temperature_c,850,851.72738,degC
R0005713,W005713,OXIDATION,58,852.62506,2025-06-06T01:50:12.625064Z,temperature_c,850,851.98554,degC
R0005713,W005713,OXIDATION,59,867.3255,2025-06-06T01:50:27.325496Z,temperature_c,850,851.85472,degC
R0005713,W005713,OXIDATION,60,882.02593,2025-06-06T01:50:42.025928Z,temperature_c,850,851.89277,degC
R0005713,W005713,OXIDATION,61,896.72636,2025-06-06T01:50:56.726360Z,temperature_c,850,851.95575,degC
R0005713,W005713,OXIDATION,62,911.42679,2025-06-06T01:51:11.426792Z,temperature_c,850,852.51641,degC
R0005713,W005713,OXIDATION,63,926.12723,2025-06-06T01:51:26.127225Z,temperature_c,850,851.07721,degC
R0005713,W005713,OXIDATION,64,940.82766,2025-06-06T01:51:40.827657Z,temperature_c,850,849.85396,degC
R0005713,W005713,OXIDATION,65,955.52809,2025-06-06T01:51:55.528089Z,temperature_c,850,848.78856,degC
R0005713,W005713,OXIDATION,66,970.22852,2025-06-06T01:52:10.228521Z,temperature_c,850,849.61526,degC
R0005713,W005713,OXIDATION,67,984.92895,2025-06-06T01:52:24.928953Z,temperature_c,850,850.17279,degC
R0005713,W005713,OXIDATION,68,999.62939,2025-06-06T01:52:39.629385Z,temperature_c,850,850.90825,degC
R0005713,W005713,OXIDATION,69,1014.3298,2025-06-06T01:52:54.329817Z,temperature_c,850,853.22927,degC
R0005713,W005713,OXIDATION,70,1029.0303,2025-06-06T01:53:09.030250Z,temperature_c,850,849.92156,degC
R0005713,W005713,OXIDATION,71,1043.7307,2025-06-06T01:53:23.730682Z,temperature_c,850,849.55915,degC
R0005713,W005713,OXIDATION,72,1058.4311,2025-06-06T01:53:38.431114Z,temperature_c,850,850.88514,degC
R0005713,W005713,OXIDATION,73,1073.1315,2025-06-06T01:53:53.131546Z,temperature_c,850,851.09283,degC
R0005713,W005713,OXIDATION,74,1087.832,2025-06-06T01:54:07.831978Z,temperature_c,850,850.75545,degC
R0005713,W005713,OXIDATION,75,1102.5324,2025-06-06T01:54:22.532410Z,temperature_c,850,850.87503,degC
R0005713,W005713,OXIDATION,76,1117.2328,2025-06-06T01:54:37.232842Z,temperature_c,850,851.62786,degC
R0005713,W005713,OXIDATION,77,1131.9333,2025-06-06T01:54:51.933275Z,temperature_c,850,851.33898,degC
R0005713,W005713,OXIDATION,78,1146.6337,2025-06-06T01:55:06.633707Z,temperature_c,850,850.45619,degC
R0005713,W005713,OXIDATION,79,1161.3341,2025-06-06T01:55:21.334139Z,temperature_c,850,849.672,degC
R0005713,W005713,OXIDATION,80,1176.0346,2025-06-06T01:55:36.034571Z,temperature_c,850,850.26849,degC
R0005713,W005713,OXIDATION,81,1190.735,2025-06-06T01:55:50.735003Z,temperature_c,850,851.93016,degC
