scenario,split,arm,cost,pending_cost,technician_hours,engineer_hours,equipment_hours,nominal_hours,complete,concern_complete,correctly_complete,unresolved_count,unexplained_count,untested_count,false_absences,false_positives,missed_faults,missed_coexisting_faults,incorrectly_complete,review_pending,attempts,inconclusive_attempts,repeated_attempts,mechanism_evidence_complete,battery_attempted,audit_complete,cases
base,test,ct_first,1151.2637037037036,52.13333333333333,2.865314814814815,2.827351851851852,6.550277777777778,21.352944444444443,0.8695555555555555,0.8748888888888889,0.8265925925925925,0.1559259259259259,0.05837037037037037,3.6956296296296296,0.024444444444444446,0.03637037037037037,0.12311111111111112,0.009407407407407408,0.04296296296296296,0.13044444444444445,1.9181481481481482,0.25733333333333336,0.11325925925925925,0.017407407407407406,0.003851851851851852,0.0,135
base,test,full,1152.9525925925925,52.13333333333333,2.8667592592592595,2.834351851851852,6.561537037037037,21.364203703703705,0.8694814814814815,0.8748888888888889,0.8265925925925925,0.1559259259259259,0.05837037037037037,3.6907407407407407,0.024592592592592593,0.03637037037037037,0.12088888888888889,0.009407407407407408,0.042888888888888886,0.1305185185185185,1.921185185185185,0.2577777777777778,0.11355555555555556,0.017407407407407406,0.003851851851851852,0.0,135
base,test,inspection,1152.8525925925926,52.13333333333333,2.8666666666666667,2.8339444444444446,6.56087037037037,21.363537037037037,0.8694814814814815,0.8748888888888889,0.8265925925925925,0.1559259259259259,0.05837037037037037,3.690888888888889,0.024592592592592593,0.03637037037037037,0.12088888888888889,0.009407407407407408,0.042888888888888886,0.1305185185185185,1.920962962962963,0.25762962962962965,0.11348148148148147,0.017407407407407406,0.003851851851851852,0.0,135
base,test,manufacturing,1151.2637037037036,52.13333333333333,2.865314814814815,2.827351851851852,6.550277777777778,21.352944444444443,0.8695555555555555,0.8748888888888889,0.8265925925925925,0.1559259259259259,0.05837037037037037,3.6956296296296296,0.024444444444444446,0.03637037037037037,0.12311111111111112,0.009407407407407408,0.04296296296296296,0.13044444444444445,1.9181481481481482,0.25733333333333336,0.11325925925925925,0.017407407407407406,0.003851851851851852,0.0,135
base,test,mock,1151.2637037037036,52.13333333333333,2.865314814814815,2.827351851851852,6.550277777777778,21.352944444444443,0.8695555555555555,0.8748888888888889,0.8265925925925925,0.1559259259259259,0.05837037037037037,3.6956296296296296,0.024444444444444446,0.03637037037037037,0.12311111111111112,0.009407407407407408,0.04296296296296296,0.13044444444444445,1.9181481481481482,0.25733333333333336,0.11325925925925925,0.017407407407407406,0.003851851851851852,0.0,135
base,test,prevalence,1151.2637037037036,52.13333333333333,2.865314814814815,2.827351851851852,6.550277777777778,21.352944444444443,0.8695555555555555,0.8748888888888889,0.8265925925925925,0.1559259259259259,0.05837037037037037,3.6956296296296296,0.024444444444444446,0.03637037037037037,0.12311111111111112,0.009407407407407408,0.04296296296296296,0.13044444444444445,1.9181481481481482,0.25733333333333336,0.11325925925925925,0.017407407407407406,0.003851851851851852,0.0,135
base,train,ct_first,1025.9395498392282,49.89067524115756,2.5935209003215434,2.4634083601286174,5.828520900321544,19.08726688102894,0.8743408360128617,0.8790514469453377,0.8263183279742765,0.1522668810289389,0.05681672025723473,3.734710610932476,0.02712218649517685,0.04062700964630225,0.1235048231511254,0.011414790996784566,0.04802250803858521,0.12565916398713825,1.8477974276527331,0.2422508038585209,0.09744372990353697,0.011607717041800643,0.0023311897106109325,0.0,622
base,train,full,1027.9516077170417,49.91961414790997,2.5954059485530547,2.4715836012861736,5.841921221864951,19.10129421221865,0.8741479099678456,0.8789871382636656,0.827572347266881,0.15231511254019292,0.05681672025723473,3.7295337620578777,0.027234726688102895,0.040594855305466235,0.12112540192926045,0.010064308681672025,0.04657556270096463,0.12585209003215433,1.8516559485530546,0.2430064308681672,0.0980064308681672,0.011591639871382637,0.0023311897106109325,0.0,622
base,train,inspection,1026.7892282958198,49.91961414790997,2.594256430868167,2.466921221864952,5.83426848874598,19.092387459807075,0.8742122186495177,0.8790192926045016,0.8263183279742765,0.15231511254019292,0.05681672025723473,3.732556270096463,0.027154340836012862,0.040594855305466235,0.12247588424437299,0.011414790996784566,0.047893890675241156,0.12578778135048233,1.849565916398714,0.24263665594855305,0.09771704180064308,0.011591639871382637,0.0023311897106109325,0.0,622
base,train,manufacturing,1025.9644694533763,49.89067524115756,2.593549035369775,2.4635048231511254,5.8286897106109326,19.087435691318326,0.8743086816720257,0.8790353697749196,0.8263183279742765,0.15228295819935692,0.05681672025723473,3.7346784565916398,0.02712218649517685,0.040610932475884244,0.1234887459807074,0.011414790996784566,0.0479903536977492,0.12569131832797428,1.8478617363344052,0.2422829581993569,0.09745980707395499,0.011607717041800643,0.0023311897106109325,0.0,622
